Tanggal;Ref Id;Kode Produk;Nama Produk;Harga Modal;Harga Jual;Profit;Message;Status
30/09/2024 22:22;874exh0944li56396;pln20;PLN 20.000;20010;20080;70;TransaksiSukses;Sukses
30/09/2024 22:21;r31mbj0wpaw966731;tp-tsel15;Telkomsel Pulsa Transfer 15.000;15640;15702;0;Sellersedangmengalamigangguan;Gagal
30/09/2024 22:20;hd4ex609gzff2748;hp-tri1500-1;Tri Data Happy 1.5 GB 1 Hari;3585;3645;60;TransaksiSukses;Sukses
30/09/2024 22:20;qh4ex5097qd166867;tsel15;Telkomsel 15.000;14860;15056;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:19;3j4eww098f3e66867;tsel15;Telkomsel 15.000;14860;15056;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:18;3k1mb00w3a8f2958;isat25;Indosat 25.000;24810;24872;62;TransaksiSukses;Sukses
30/09/2024 22:17;yl4ewp09rkon1468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 22:17;dm7u3v09vadn1456;dana25;DANA 25.000;25090;25160;70;TransaksiSukses;Sukses
30/09/2024 22:17;8s4ewm09t3tt5768;tri20;Three 20.000;19590;19727;137;TransaksiSukses;Sukses
30/09/2024 22:17;5q1maw0wmtyr1452;dana19;DANA 19.000;19095;19155;60;TransaksiSukses;Sukses
30/09/2024 22:16;yi7u3n09c8vd2967;isat60;Indosat 60.000;58845;59061;216;TransaksiSukses;Sukses
30/09/2024 22:16;my7u3j093mzf67073;tsel50;Telkomsel 50.000;49550;49640;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:14;407u3a09440w1468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 22:12;jn7u34098npl88675;isat85;Indosat 85.000;84503;84571;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:11;6a7u3109ch0e74458;dana57;DANA 57.000;57090;57171;81;TransaksiSukses;Sukses
30/09/2024 22:11;qc1ma30w4zo41468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 22:10;r44evi09ujpx88675;isat85;Indosat 85.000;84503;84571;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:10;z87u2s09lmrc1468;dana50;DANA 50.000;50090;50161;71;TransaksiSukses;Sukses
30/09/2024 22:10;sq4evg0914tc74350;dana23;DANA 23.000;23150;23210;60;TransaksiSukses;Sukses
30/09/2024 22:09;mm1m9v0wqzph1472;dana60;DANA 60.000;60035;60171;136;TransaksiSukses;Sukses
30/09/2024 22:08;bh7u2l093acg4428;pln50;PLN 50.000;50025;50091;66;TransaksiSukses;Sukses
30/09/2024 22:08;714ev609agtg66838;tsel5;Telkomsel 5.000;5215;5291;0;SellerinitelahdiblokirolehAnda;Gagal
30/09/2024 22:07;p01m9k0whefz74368;dana52;DANA 52.000;52100;52211;111;TransaksiSukses;Sukses
30/09/2024 22:07;tv7u2i09oxoc1477;dana700;DANA 700.000;700090;700182;92;TransaksiSukses;Sukses
30/09/2024 22:07;cm4eux092oww80855;sos-axis1-1;Axis Data Boostr Sosmed 1 GB 1 Hari;1530;1805;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:06;x67u2e093ozy1435;dana10;DANA 10.000;10090;10175;85;TransaksiSukses;Sukses
30/09/2024 22:06;jf4euu09edhr1459;dana30;DANA 30.000;30080;30170;90;TransaksiSukses;Sukses
30/09/2024 22:06;834eus095hik80855;sos-axis1-1;Axis Data Boostr Sosmed 1 GB 1 Hari;1530;1805;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:06;r37u2b09lgzb74453;dana48;DANA 48.000;48100;48165;65;TransaksiSukses;Sukses
30/09/2024 22:05;um7u2309dz3m67044;tsel20;Telkomsel 20.000;19855;19942;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:04;xi7u2009lcu867044;tsel20;Telkomsel 20.000;19855;19942;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:04;8x1m940w1xkh2373;gopay1000;Go Pay 1.000.000;1000350;1000745;395;TransaksiSukses;Sukses
30/09/2024 22:04;sc7u1w09djv967044;tsel20;Telkomsel 20.000;19855;19942;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:04;z61m910w7e0h67044;tsel20;Telkomsel 20.000;19855;19942;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:02;gw7u1m09zs6e66867;tsel15;Telkomsel 15.000;14860;15056;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:01;1b4eu209xnp45762;tri10;Three 10.000;10324;10376;52;TransaksiSukses;Sukses
30/09/2024 22:01;xr1m8n0wch1x66867;tsel15;Telkomsel 15.000;14860;15056;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:01;kg4etw09rvm266836;tsel10;Telkomsel 10.000;10175;10251;0;ProduksedangGangguan(NonAktif);Gagal
30/09/2024 22:00;dw1m8j0wr9m74328;dana41;DANA 41.000;41090;41160;70;TransaksiSukses;Sukses
30/09/2024 22:00;d91m8f0waak70555;dana50;DANA 50.000;50100;50161;0;Saldotidakcukup;Gagal
