created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 25 01:05:00 +0000 2023;1739089828829179959;"nonton di bioskop, seru bangettt. tiap ada scene gojo, 1 teater teriak wkwkwkwkwk. nangis bareng-bareng pas liat geto mati, tapi ketawa bareng-bareng liat keanehan gojo. seruuuu asik bat dah ah, pulang nonton langsung kecanduan lagu sakayume wkwkwkwk 🫶🏻";0;0;0;0;in;1018062671403290624;1739089828829179959;07JAEMINE;https://twitter.com/07JAEMINE/status/1739089828829179959
Mon Dec 25 00:42:19 +0000 2023;1739084118778929495;"@esmiavivi Yo también beba gojo es mine mio miaso";0;1;1;1;es;1657933308553056256;1739057490191319380;perradehyeju;https://twitter.com/perradehyeju/status/1739084118778929495
Sun Dec 24 23:01:20 +0000 2023;1739058705205760306;"@esmiavivi Hola me lees gojo es mío y telo grabas borra el tweet desgrasiada";1;1;1;0;es;1657933308553056256;1739057490191319380;perradehyeju;https://twitter.com/perradehyeju/status/1739058705205760306
Sun Dec 24 23:00:10 +0000 2023;1739058412019749039;"@esmiavivi Es mío gojo gojo de mati";0;0;1;0;es;1657933308553056256;1739057490191319380;perradehyeju;https://twitter.com/perradehyeju/status/1739058412019749039
Sun Dec 24 19:29:38 +0000 2023;1739005429550809302;"Loh gojo beneran mati?";0;1;0;0;in;1129637213564620801;1739005429550809302;sigmaniis;https://twitter.com/sigmaniis/status/1739005429550809302
Sun Dec 24 17:35:52 +0000 2023;1738976799361745256;"Jujutsu Kaisen break seminggu... Feeling ku gak enak njir. Harus ber ekspektasi sesedih mungkin kayaknya, biar gak sakit ati kyk pas Gojo mati anjirrr.";0;0;0;0;in;2721553718;1738976799361745256;vrdaay;https://twitter.com/vrdaay/status/1738976799361745256
Sun Dec 24 16:54:37 +0000 2023;1738966417641488459;"gojo tu beneran mati??";0;0;0;0;in;1524013128853254145;1738966417641488459;ryuseyokohama;https://twitter.com/ryuseyokohama/status/1738966417641488459
Sun Dec 24 16:13:14 +0000 2023;1738956003205669101;"udahlah we jangan spoiler kalo gojo bakal mati. nanami mati aja gue mewek 😭";0;2;0;2;in;1279093317372792832;1738956003205669101;vodkabluelemon;https://twitter.com/vodkabluelemon/status/1738956003205669101
Sun Dec 24 15:52:14 +0000 2023;1738950718198092141;"Kek apaan si, mau nyebut kuat mah kuat aja gitu gausah bawa bawa gojo 😂 anaknya udah dibuat mati oge";0;0;0;0;in;2270104056;1738948458592243872;nyeongtoru;https://twitter.com/nyeongtoru/status/1738950718198092141
Sun Dec 24 15:01:09 +0000 2023;1738937865739145547;"ak ga percaya gojo mati, dia cuma jadi kiko aja (extremely being denial but i trust that) liat aja (nangis)";1;0;0;0;in;1438346532084797444;1738937865739145547;nnaoeo;https://twitter.com/nnaoeo/status/1738937865739145547
Sun Dec 24 14:49:36 +0000 2023;1738934958281085430;"because of his personality dengan dia punya pendirian like udgfghdhdh idk how to word it tapi gojo tuh baik sebaik baiknya orang😭 emang cinta mati sama gojo deh aku";0;0;0;1;in;1263027734919307264;1738934958281085430;rnislover;https://twitter.com/rnislover/status/1738934958281085430
Sun Dec 24 13:39:49 +0000 2023;1738917398080823476;"Woi ini si gojo fiks mati kah???";0;0;1;0;in;1358734489787142151;1738917398080823476;deggration;https://twitter.com/deggration/status/1738917398080823476
Sun Dec 24 13:36:03 +0000 2023;1738916449354399990;"To simply put, dia rehat dari dunia (tapi dunia jujutsu tergonjang-ganjing tanpa dia). Sepahamku, waktu di dalam Prison Realm tidak berubah (semacam ada pause) jadi Gojo gak bakalan mati kelaparan atau dehidrasi selama di sana.";0;0;0;0;in;1383164345840848896;1738916449354399990;haewschon;https://twitter.com/haewschon/status/1738916449354399990
Sun Dec 24 13:19:18 +0000 2023;1738912233483387249;"@JUJUTSUFESS Eh Ini serius nanya. Gojo tuh di segel beneran mati ya? Atau cuma rest dari dunia doang?";9;2;0;0;in;1714682309675528192;1738911018892632301;plavegeuse;https://twitter.com/plavegeuse/status/1738912233483387249
Sun Dec 24 13:13:42 +0000 2023;1738910823760990235;"Belum official Mati, Plot Armor gojo harusny besar. Tp Tergantung Mangakany jg 😅";0;0;0;0;in;251475033;1738910823760990235;JauharyMuhammad;https://twitter.com/JauharyMuhammad/status/1738910823760990235
Sun Dec 24 12:45:43 +0000 2023;1738903783495909668;"@grizzlypawss @JUJUTSUFESS 😭😭 masih ga terima gitu gojo mati beneran. Megumi nobara masih gatau kabarnya gimana???";0;1;0;0;in;1613486251226845185;1738899446870712384;hikensables;https://twitter.com/hikensables/status/1738903783495909668
Sun Dec 24 12:40:12 +0000 2023;1738902395529396687;"@hikensables @JUJUTSUFESS setelah gojo mati, penyihir yang tersisa udah gerak ke tujuannya masing masing.  yuta+takaba vs kenjaku hakari vs uraume yuji+kusakabe+hiruguma+ino vs sukuna";0;1;0;0;in;1172054194565435393;1738899446870712384;grizzlypawss;https://twitter.com/grizzlypawss/status/1738902395529396687
Sun Dec 24 12:39:54 +0000 2023;1738902317276241944;"Habis arc shibuya ini mereka muncul sebentar, buat di manga sekarang mereka semua mati (entah dibunuh gojo atau kenjaku atau yuta, karena mereka bertiga yang berpotensi sanggup ngekill all petinggi sendirian).  Kalau buat klan gojo, tidak ada yang muncul.";0;1;0;0;in;1418935552477388805;1738902317276241944;peonytha__;https://twitter.com/peonytha__/status/1738902317276241944
Sun Dec 24 12:36:19 +0000 2023;1738901415240794598;"@menatahirup @JUJUTSUFESS Petinggi udh mati semua. Soal klan gojo belum tau";0;1;0;0;in;1200445764461219840;1738899446870712384;etherealchandra;https://twitter.com/etherealchandra/status/1738901415240794598
Sun Dec 24 12:33:33 +0000 2023;1738900721888903225;"@D0LLETTES klo misal mati btulan gojo, fix couplean tglnya";0;0;0;0;in;798999330044579841;1738769801722704319;levi0samu;https://twitter.com/levi0samu/status/1738900721888903225
Sun Dec 24 11:42:10 +0000 2023;1738887789687779524;"@JUJUTSUFESS Gojo beneran mati bgt kek m4t! Gitu???";0;0;0;0;in;1561863404;1738709728593948712;Iyaya007;https://twitter.com/Iyaya007/status/1738887789687779524
Sun Dec 24 11:34:00 +0000 2023;1738885734051037295;"@desserht itu sebenarnya reinkarnasi dari anak ku sama gojo, aku ga rela dia mati sama aku dan gojo jadi aku kasi reinkarnasi:(.";0;0;0;0;in;1483395042740170752;1738885350985244680;ltfalterego;https://twitter.com/ltfalterego/status/1738885734051037295
Sun Dec 24 10:33:00 +0000 2023;1738870382755795027;"Males banget tiap ultah jadi inget Gojo mati😭";0;1;0;0;in;1236384900397162496;1738870382755795027;Haihibernasi;https://twitter.com/Haihibernasi/status/1738870382755795027
Sun Dec 24 08:45:05 +0000 2023;1738843226289914009;"ngehusbuin gojo, mati. eh ganti ngehusbuin choso, otw mati juga";0;1;0;0;in;1964506669;1738843226289914009;isnarizkifa;https://twitter.com/isnarizkifa/status/1738843226289914009
Sun Dec 24 07:54:15 +0000 2023;1738830432505045229;"@JUJUTSUFESS Gojo mati?";1;2;0;0;in;1016891023182557185;1738706074763698686;libraatlantis;https://twitter.com/libraatlantis/status/1738830432505045229
Sun Dec 24 07:54:00 +0000 2023;1738830368365764735;"paling membekas adalah GOJO NGOMONG APA KE GETO SEBELUM MATI YAKIN ITUMAH I LOVE YOU KAN NGAKU LU";0;1;0;0;in;2965893242;1738830368365764735;moisenle;https://twitter.com/moisenle/status/1738830368365764735
Sun Dec 24 07:12:13 +0000 2023;1738819853413413330;"@iyaainivivi Mati beneran gojo?";0;1;0;0;in;220126836;1738814837654986931;arkanrahman;https://twitter.com/arkanrahman/status/1738819853413413330
Sun Dec 24 06:39:52 +0000 2023;1738811713150222389;"@Isra_KK Kenjaku itu (berbentuk otak) yg ambil alih tubuh geto setelah mati dibunuh gojo di movie. Makanya geto yg sekarang ada luka jahitan di kepalanya karena isinya otak kenjaku (sebelum di tubuh geto dya ada di kepala emaknya si MC aka itadori)";0;0;0;0;in;1290054014176915457;1738807526123262368;ndraglines;https://twitter.com/ndraglines/status/1738811713150222389
Sun Dec 24 06:28:01 +0000 2023;1738808729913708769;"@Isra_KK yang di S1 tuh badan geto doang, geto yang asli udh mati (geto sahabat gojo) di movie. jadi yg skrg kita tonton tuh badannya doang geto, jiwanya bukan. gojo pernah bilang "dimata gue lu geto, tapi di hati gue lu bukan geto"";0;1;0;1;in;1594673676825526272;1738807526123262368;Dopeboyyy9;https://twitter.com/Dopeboyyy9/status/1738808729913708769
Sun Dec 24 05:36:53 +0000 2023;1738795861881368800;"Aduhh, member pergi spoil pula Gojo mati kat Comic Fiesta 😅  Yang takleh blah, kawan sebelah dia tuh minta sedekah untuk Nanami 😂  #comicfiesta #gojo #nanami https://t.co/Yc4baTZr3e";1;0;1;4;in;996296592909975554;1738795861881368800;GamerSantaiMY;https://twitter.com/GamerSantaiMY/status/1738795861881368800
Sun Dec 24 04:23:29 +0000 2023;1738777390288080903;"Ih bjir hari ini geto gojo dead anniv. TRS NGELIAT FANARTNYA MEREKA KYK LG TIDURAN MATI BERDUA SAMBIL DENGERIN NOTHINGS NEW WKWKWKDJJEJSJDJ😔😭😭😭";0;0;0;0;in;1421037714846015492;1738777390288080903;sleepysaurs;https://twitter.com/sleepysaurs/status/1738777390288080903
